side,entry,exit,pnl,pnl_pct,bars,reason
long,69880.0,70710.11785714286,1.185150543315913,1.1879190857797095,1,sl
long,73126.28,72892.20071428572,-0.3197361660007247,-0.32010282174107507,1,sl
long,72668.43,72664.65142857144,-0.005192124268037828,-0.005199742761141657,2,sl
long,71161.19,71330.3,0.2372941592412586,0.2376435807214694,2,forced
long,71228.0,70974.09571428571,-0.3560274121934531,-0.35646695922150196,2,sl
long,70278.4,70145.98071428572,-0.18812161232483313,-0.18842103080644046,1,sl
long,71934.0,71721.03,-0.29553689030397395,-0.2960630578029866,1,sl
long,72784.73,72996.11642857143,0.28982490846737585,0.29042689115070797,2,sl
long,71594.53,71595.94142857143,0.0019679046686125554,0.0019714195643505406,1,sl
long,71622.03,71546.93,-0.10466926171477975,-0.10485600589651423,1,forced
long,71846.68,71695.85214285714,-0.2095343194246805,-0.20993016955390686,2,sl
long,71761.24,72028.98928571428,0.37232955784683286,0.3731112864190811,1,sl
long,72391.41,72794.89642857143,0.5564075752641415,0.5573678266128868,1,sl
long,73878.04,73801.08857142857,-0.10403858916001128,-0.1041600840675061,1,sl
long,74874.93,75108.77142857143,0.3119126009099175,0.3123093785482478,2,sl
long,74324.03,74403.62,0.10698250477137378,0.10708515132991092,1,forced
long,74311.79,74194.85,-0.15722998679263736,-0.15736399298145187,1,forced
long,74705.09,74567.70857142856,-0.18371283458855597,-0.1838983509308889,2,sl
long,73867.88,73907.5,0.053572341197768776,0.05363630308599099,1,forced
long,74172.59,74248.25,0.10188915863865336,0.10200533647268806,2,forced
long,70875.94,70778.33928571429,-0.13756360409666243,-0.13770641248033177,1,sl
long,70726.0,70836.24571428572,0.15569411278888662,0.15587720822005657,2,sl
long,67242.74,67173.8,-0.10241961543506502,-0.10252407917941131,2,forced
long,67432.49,67539.34071428572,0.15827815114209517,0.15845583380609263,6,sl
long,67624.39,67717.07714285715,0.13692970764448525,0.13706170637124426,1,sl
long,67751.6,67476.06357142857,-0.40635025507983735,-0.4066862311317143,2,sl
long,68146.88,68044.0,-0.150781961465247,-0.15096802670937493,2,forced
long,68167.59,68186.90071428572,0.028289107019011453,0.028328292500456875,1,sl
long,68649.99,68649.65,-0.0004945948409553909,-0.0004952659133805604,1,sl
long,68555.87,68417.64357142858,-0.201352658774059,-0.20162595642272407,1,sl
long,67014.96,66997.62142857142,-0.025832408722393608,-0.02587268787235253,1,sl
long,66983.71,66953.59857142858,-0.04488221480893667,-0.044953360408717113,4,sl
long,67497.19,67447.43071428571,-0.07360054647067461,-0.0737205292757892,1,sl
long,67425.48,67413.78,-0.017322971529494174,-0.017352490482824834,1,forced
long,69633.59,70028.49785714287,0.5661480673791996,0.5671226446070987,1,sl
long,71712.49,71671.505,-0.05708597277946509,-0.057151829479074046,2,sl
long,71675.12,71682.36,0.010088917833221824,0.010101134117390664,1,sl
long,71534.68,71354.16714285714,-0.25204050198159894,-0.2523431392198128,1,sl
long,72174.77,72292.81,0.1633100912957543,0.16354745571063312,1,sl
long,72709.32,72810.58928571428,0.13910025144958202,0.13927964903848178,1,sl
long,73236.11,73225.15357142857,-0.01494322992924399,-0.014960418530463038,3,sl
long,72962.73,72898.57142857142,-0.08783100418225746,-0.08793334820198506,2,sl
long,73077.71,73095.97,0.024955822678339366,0.024987099349438324,2,forced
long,72853.59,72922.58928571429,0.09459333488143835,0.09470952044270398,1,sl
long,74472.9,74466.56,-0.008503525554604326,-0.008513163848855587,2,forced
long,74010.35,73899.17,-0.15005087886853657,-0.15022223243101873,2,forced
long,74283.8,74311.69,0.037496738016604816,0.037545198280097836,2,forced
long,74770.18,74607.67,-0.21707362348404172,-0.21734600612168808,2,sl
long,75223.47,75012.18999999999,-0.28045682563579055,-0.2808697870491872,2,sl
long,77319.12,77293.39,-0.03321940699568757,-0.03327766792999842,1,forced
long,75960.01,75927.45785714284,-0.04277786531917024,-0.042854316181828445,3,sl
long,75754.4,75580.57,-0.22904604382444926,-0.22946521918196794,1,forced
long,76179.82,76142.59,-0.048770741058298976,-0.048871210249656905,1,sl
long,79045.75,79068.15,0.028278380212248017,0.028338019438112205,2,forced
long,78607.95,78562.58,-0.057596971859552676,-0.05771680854161909,1,forced
long,78178.34,78306.0,0.16294486212126494,0.1632933111652246,1,forced
